S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,2,988.30,969.00,988.30,50.00,48932.50,950.00,38.30 ,                                            ,
2,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,48,1390.00,1366.00,1366.00,1257.00,1724308.00,1376.00,-10.00 ,                                             ,
3,Agricultural Development Bank Limited,266,395.00,392.00,393.00,24489.00,9624549.10,395.00,-2.00 ,                                             ,
4,Ajod Insurance Limited,183,715.00,690.00,699.00,10229.00,7209719.10,699.00,0.00 ,                                            ,
5,Ankhu Khola Jalvidhyut Company Ltd,313,300.00,291.00,294.00,50566.00,14882084.60,298.00,-4.00 ,                                             ,
6,Api Power Company Ltd.,1576,496.50,481.00,483.40,212658.00,103345347.50,492.00,-8.60 ,                                             ,
7,Arun Kabeli Power Ltd.,394,514.00,501.00,502.00,44146.00,22314162.30,512.00,-10.00 ,                                             ,
8,Arun Valley Hydropower Development Co. Ltd.,444,504.00,491.00,492.50,88615.00,43913945.80,498.30,-5.80 ,                                             ,
9,Asha Laghubitta Bittiya Sanstha Ltd,45,1430.00,1401.00,1401.00,1744.00,2460717.50,1420.00,-19.00 ,                                             ,
10,Asian Life Insurance Co. Limited,300,939.00,900.00,932.00,29122.00,27007999.20,905.00,27.00 ,                                            ,
11,Bank of Kathmandu Ltd.,159,278.00,271.50,271.50,35226.00,9655161.80,277.00,-5.50 ,                                             ,
12,Barun Hydropower Co. Ltd.,110,512.00,495.00,504.00,17933.00,8975145.60,508.70,-4.70 ,                                             ,
13,Best Finance Company Ltd.,116,454.00,445.20,447.00,12440.00,5592601.70,454.00,-7.00 ,                                             ,
14,Bishal Bazar Company Limited,8,4425.90,4320.00,4425.90,140.00,613923.50,4400.00,25.90 ,                                            ,
15,Bottlers Nepal (Terai) Limited,32,14570.00,14199.00,14570.00,476.00,6878132.50,14199.00,371.00 ,                                            ,
16,Buddha Bhumi Nepal Hydropower Company Limited,134,650.00,630.00,633.00,3530.00,2260217.00,646.00,-13.00 ,                                             ,
17,Butwal Power Company Limited,164,415.00,408.00,410.00,21917.00,8983604.90,411.00,-1.00 ,                                             ,
18,CEDB Hydropower Development Company Limited,177,905.00,875.00,875.00,8135.00,7232928.00,900.00,-25.00 ,                                             ,
19,Central Finance Co. Ltd.,112,438.00,421.00,424.90,11320.00,4836939.50,432.00,-7.10 ,                                             ,
20,Century Commercial Bank Ltd.,208,231.00,228.00,229.00,25778.00,5905773.60,231.10,-2.10 ,                                             ,
